radius_mean,texture_mean,perimeter_mean,area_mean,smoothness_mean,fractal_dimension_mean,area_se,concavity_se,radius_worst,texture_worst,perimeter_worst,area_worst,smoothness_worst,symmetry_worst
11.81,17.39,75.27,428.9,0.1007,0.0578,14.47,0.01556,12.57,26.48,79.57,489.5,0.1356,0.32
12.3,15.9,78.83,463.7,0.0808,0.05474,18.32,0.02117,13.35,19.59,86.65,546.7,0.1096,0.2482
14.22,23.12,94.37,609.9,0.1075,0.07542,31.72,0.1166,15.74,37.18,106.4,762.4,0.1533,0.5166
12.77,21.41,82.02,507.4,0.08749,0.06287,53.65,0.02176,13.75,23.5,89.04,579.5,0.09388,0.2179
9.72,18.22,60.73,288.1,0.0695,0.06447,21.69,0,9.968,20.83,62.25,303.8,0.07117,0.1909
12.34,26.86,81.15,477.4,0.1034,0.06937,34.44,0.03763,15.65,39.34,101.7,768.9,0.1785,0.3215
14.86,23.21,100.4,671.4,0.1044,0.06672,25.2,0.05551,16.08,27.78,118.6,784.7,0.1316,0.3
12.91,16.33,82.53,516.4,0.07941,0.05667,15.75,0.02321,13.88,22,90.81,600.6,0.1097,0.3024
13.77,22.29,90.63,588.9,0.12,0.06877,49.7,0.04665,16.39,34.01,111.6,806.9,0.1737,0.308
18.08,21.84,117.4,1024,0.07371,0.0534,76.36,0.0611,19.76,24.7,129.1,1228,0.08822,0.2369
19.18,22.49,127.5,1148,0.08523,0.05529,54.22,0.02706,23.36,32.06,166.4,1688,0.1322,0.3193
14.45,20.22,94.49,642.7,0.09872,0.06466,19.42,0.02,18.33,30.12,117.9,1044,0.1552,0.4753
12.23,19.56,78.54,461,0.09586,0.06013,27.24,0.01401,14.44,28.36,92.15,638.4,0.1429,0.2668
17.54,19.32,115.1,951.6,0.08968,0.05491,40.73,0.02713,20.42,25.84,139.5,1239,0.1381,0.2928
23.29,26.67,158.9,1685,0.1141,0.06229,83.16,0.08958,25.12,32.68,177,1986,0.1536,0.3198
13.81,23.75,91.56,597.8,0.1323,0.07421,52.72,0.03112,19.2,41.85,128.5,1153,0.2226,0.4432
12.47,18.6,81.09,481.9,0.09965,0.06373,30.29,0.02701,14.97,24.64,96.05,677.9,0.1426,0.3014
15.12,16.68,98.78,716.6,0.08876,0.05986,26.44,0.02039,17.77,20.24,117.7,989.5,0.1491,0.3415
9.876,17.27,62.92,295.4,0.1089,0.06285,12.33,0.007975,10.42,23.22,67.08,331.6,0.1415,0.2989
17.01,20.26,109.7,904.3,0.08772,0.05223,68.46,0.01946,19.8,25.05,130,1210,0.1111,0.3275
13.11,22.54,87.02,529.4,0.1002,0.0731,15.09,0.02526,14.55,29.16,99.48,639.3,0.1349,0.4128
15.27,12.91,98.17,725.5,0.08182,0.05526,20,0.01841,17.38,15.92,113.7,932.7,0.1222,0.232
20.58,22.14,134.7,1290,0.0909,0.05024,111.7,0.05489,23.24,27.84,158.3,1656,0.1178,0.2909
11.84,18.94,75.51,428,0.08871,0.06057,17.12,0.02045,13.3,24.99,85.22,546.3,0.128,0.2535
28.11,18.47,188.5,2499,0.1142,0.05525,525.6,0.06389,28.11,18.47,188.5,2499,0.1142,0.1648
17.42,25.56,114.5,948,0.1006,0.05866,58.53,0.1438,18.07,28.07,120.4,1021,0.1243,0.1603
14.19,23.81,92.87,610.7,0.09463,0.06433,31,0.03688,16.86,34.85,115,811.3,0.1559,0.4724
13.86,16.93,90.96,578.9,0.1026,0.06916,22.69,0.03909,15.75,26.93,104.4,750.1,0.146,0.363
11.89,18.35,77.32,432.2,0.09363,0.06314,21.46,0.05946,13.25,27.1,86.2,531.2,0.1405,0.3397
10.2,17.48,65.05,321.2,0.08054,0.06315,22.79,0.05774,11.48,24.47,75.4,403.7,0.09527,0.2868
19.8,21.56,129.7,1230,0.09383,0.05581,124.4,0.03446,25.73,28.64,170.3,2009,0.1353,0.307
19.53,32.47,128,1223,0.0842,0.05313,109.9,0.02664,27.9,45.41,180.2,2477,0.1408,0.2713
13.65,13.16,87.88,568.9,0.09646,0.06344,17.4,0.01652,15.34,16.35,99.71,706.2,0.1311,0.238
13.56,13.9,88.59,561.3,0.1051,0.06303,21.03,0.02544,14.98,17.13,101.1,686.6,0.1376,0.3065
10.18,17.53,65.12,313.1,0.1061,0.06908,15.05,0.008534,11.17,22.84,71.94,375.6,0.1406,0.3055
15.75,20.25,102.6,761.3,0.1025,0.06303,32.19,0.02384,19.56,30.29,125.9,1088,0.1552,0.3993
13.27,17.02,84.55,546.4,0.08445,0.05674,24.68,0.02259,15.14,23.6,98.84,708.8,0.1276,0.2506
14.34,13.47,92.51,641.2,0.09906,0.05448,48.29,0.0236,16.77,16.9,110.4,873.2,0.1297,0.3062
10.44,15.46,66.62,329.6,0.1053,0.0645,11.86,0.002817,11.52,19.8,73.47,395.4,0.1341,0.2615
15,15.51,97.45,684.5,0.08371,0.05907,19.88,0.03644,16.41,19.31,114.2,808.2,0.1136,0.2954
12.62,23.97,81.35,496.4,0.07903,0.06019,18.51,0.03016,14.2,31.31,90.67,624,0.1227,0.2826
12.83,22.33,85.26,503.2,0.1088,0.07254,25.13,0.04683,15.2,30.15,105.3,706,0.1777,0.3407
17.05,19.08,113.4,895,0.1141,0.06325,31.98,0.03055,19.59,24.89,133.5,1189,0.1703,0.3109
11.32,27.08,71.76,395.7,0.06883,0.05628,8.605,0.01633,12.08,33.75,79.82,452.3,0.09203,0.2849
11.22,33.81,70.79,386.8,0.0778,0.05828,15.46,0.003223,12.36,41.78,78.44,470.9,0.09994,0.2911
20.51,27.81,134.4,1319,0.09159,0.05592,70.01,0.03457,24.47,37.38,162.7,1872,0.1223,0.2437
9.567,15.91,60.21,279.6,0.08464,0.06403,12.64,0.01186,10.51,19.16,65.74,335.9,0.1504,0.2757
14.03,21.25,89.79,603.4,0.0907,0.05835,22.07,0.007302,15.33,30.28,98.27,715.5,0.1287,0.2226
23.21,26.97,153.5,1670,0.09509,0.06309,155.8,0.04497,31.01,34.51,206,2944,0.1481,0.3103
20.48,21.46,132.5,1306,0.08355,0.05177,83.5,0.04257,24.22,26.17,161.7,1750,0.1228,0.2238
14.22,27.85,92.55,623.9,0.08223,0.06129,29.96,0.0385,15.75,40.54,102.5,764,0.1081,0.189
17.46,39.28,113.4,920.6,0.09812,0.05966,49,0.02602,22.51,44.87,141.2,1408,0.1365,0.2853
13.64,15.6,87.38,575.3,0.09423,0.0566,27.19,0.0181,14.85,19.05,94.11,683.4,0.1278,0.253
12.42,15.04,78.61,476.5,0.07926,0.05754,9.006,0.006493,13.2,20.37,83.85,543.4,0.1037,0.2901
11.3,18.19,73.93,389.4,0.09592,0.07669,16.39,0.0888,12.58,27.96,87.16,472.9,0.1347,0.3308
13.75,23.77,88.54,590,0.08043,0.05429,39.93,0.03371,15.01,26.34,98,706,0.09368,0.2663
19.4,23.5,129.1,1155,0.1027,0.06,60.41,0.03915,21.65,30.53,144.9,1417,0.1463,0.292
10.48,19.86,66.72,337.7,0.107,0.0644,23.22,0.01865,11.48,29.46,73.68,402.8,0.1515,0.2883
13.2,17.43,84.13,541.6,0.07215,0.05635,13.56,0.03079,13.94,27.82,88.28,602,0.1101,0.2767
12.89,14.11,84.95,512.2,0.0876,0.06409,16.35,0.08158,14.39,17.7,105,639.1,0.1254,0.2639
10.65,25.22,68.01,347,0.09657,0.06329,16.64,0.01081,12.25,35.19,77.98,455.7,0.1499,0.3409
11.52,14.93,73.87,406.3,0.1013,0.06168,18.62,0.02105,12.65,21.19,80.88,491.8,0.1389,0.2664
20.94,23.56,138.9,1364,0.1007,0.05898,137.9,0.09518,25.58,27,165.3,2010,0.1211,0.3126
11.5,18.45,73.28,407.4,0.09345,0.05934,26.99,0.01245,12.97,22.46,83.12,508.9,0.1183,0.274
19.73,19.82,130.7,1206,0.1062,0.06697,92.81,0.068,25.28,25.59,159.8,1933,0.171,0.2749
17.3,17.08,113,928.2,0.1008,0.05613,33.63,0.02332,19.85,25.09,130.9,1222,0.1416,0.3138
19.45,19.33,126.5,1169,0.1035,0.05647,71,0.02749,25.7,24.57,163.1,1972,0.1497,0.3379
13.96,17.05,91.43,602.4,0.1096,0.0613,35.74,0.03119,16.39,22.07,108.1,826,0.1512,0.3068
19.55,28.77,133.6,1207,0.0926,0.06232,106.4,0.03863,25.05,36.27,178.6,1926,0.1281,0.2818
15.32,17.27,103.2,713.3,0.1335,0.07596,59.46,0.04983,17.73,22.66,119.8,928.8,0.1765,0.3258
15.66,23.2,110.2,773.5,0.1109,0.08104,138.5,0.08232,19.85,31.64,143.7,1226,0.1504,0.3277
15.53,33.56,103.7,744.9,0.1063,0.0665,23.02,0.02889,18.49,49.54,126.3,1035,0.1883,0.3512
20.31,27.06,132.9,1288,0.1,0.05572,52.34,0.02117,24.33,39.16,162.3,1844,0.1522,0.3151
17.35,23.06,111,933.1,0.08662,0.05307,44.41,0.01246,19.85,31.47,128.2,1218,0.124,0.2452
17.29,22.13,114.4,947.8,0.08999,0.05464,90.94,0.04638,20.39,27.24,137.9,1295,0.1134,0.3067
15.61,19.38,100,758.6,0.0784,0.05443,22.18,0.01311,17.91,31.67,115.9,988.6,0.1084,0.2683
17.19,22.07,111.6,928.3,0.09726,0.0558,45.42,0.02048,21.58,29.33,140.5,1436,0.1558,0.3216
20.73,31.12,135.7,1419,0.09469,0.05674,199.7,0.02143,32.49,47.16,214,3432,0.1401,0.2868
10.6,18.95,69.28,346.4,0.09688,0.06491,27.1,0.03354,11.88,22.94,78.28,424.8,0.1213,0.294
13.59,21.84,87.16,561,0.07956,0.05859,26.76,0.03099,14.8,30.04,97.66,661.5,0.1005,0.2446
12.87,16.21,82.38,512.2,0.09425,0.05769,18.24,0.02589,13.9,23.64,89.27,597.5,0.1256,0.3604
10.71,20.39,69.5,344.9,0.1082,0.06862,20.74,0.07339,11.69,25.21,76.51,410.4,0.1335,0.2605
14.29,16.82,90.3,632.6,0.06429,0.05376,10.77,0.004826,14.91,20.65,94.44,684.6,0.08567,0.2458
11.29,13.04,72.23,388,0.09834,0.0627,13.17,0.01282,12.32,16.18,78.27,457.5,0.1358,0.2733
21.75,20.99,147.3,1491,0.09401,0.06194,156.8,0.06329,28.19,28.18,195.9,2384,0.1272,0.2833
9.742,15.67,61.5,289.9,0.09037,0.06312,16.39,0.008347,10.75,20.88,68.09,355.2,0.1467,0.2841
17.93,24.48,115.2,998.9,0.08855,0.0551,45.81,0.01622,20.92,34.69,135.1,1320,0.1315,0.2504
11.89,17.36,76.2,435.6,0.1225,0.05875,48.84,0.01267,12.4,18.99,79.46,472.4,0.1359,0.222
11.33,14.16,71.79,396.6,0.09379,0.05821,17.09,0.001487,12.2,18.99,77.37,458,0.1259,0.2758
18.81,19.98,120.9,1102,0.08923,0.04996,36.74,0.02623,19.96,24.3,129,1236,0.1243,0.2567
13.59,17.84,86.24,572.3,0.07948,0.0552,22.22,0.01065,15.5,26.1,98.91,739.1,0.105,0.2335
13.85,15.18,88.99,587.4,0.09516,0.05853,19.41,0.01457,14.98,21.74,98.37,670,0.1185,0.2955
19.16,26.6,126.2,1138,0.102,0.0622,69.65,0.03988,23.72,35.9,159.8,1724,0.1782,0.3258
11.74,14.02,74.24,427.3,0.07813,0.06113,37.83,0.01514,13.31,18.26,84.7,533.7,0.1036,0.3101
19.4,18.18,127.2,1145,0.1037,0.05892,53.16,0.03059,23.79,28.65,152.4,1628,0.1518,0.359
16.24,18.77,108.8,805.1,0.1066,0.06684,28.09,0.03872,18.55,25.09,126.9,1031,0.1365,0.277
12.89,15.7,84.08,516.6,0.07818,0.05935,23.29,0.07927,13.9,19.69,92.12,595.6,0.09926,0.1999
12.58,18.4,79.83,489,0.08393,0.05855,22.45,0.00186,13.5,23.08,85.56,564.1,0.1038,0.2505
11.94,20.76,77.87,441,0.08605,0.06766,21.91,0.04387,13.24,27.29,92.2,546.1,0.1116,0.2465
12.89,13.12,81.89,515.9,0.06955,0.05581,12.68,0.01652,13.62,15.54,87.4,577,0.09616,0.2309
11.26,19.96,73.72,394.1,0.0802,0.06233,34.68,0.08099,11.86,22.33,78.27,437.6,0.1028,0.2955
11.37,18.89,72.17,396,0.08713,0.05955,17.49,0.01376,12.36,26.14,79.29,459.3,0.1118,0.3267
14.41,19.73,96.03,651,0.08757,0.07192,77.11,0.0996,15.77,22.13,101.7,767.3,0.09983,0.2272
14.96,19.1,97.03,687.3,0.08992,0.05852,24.87,0.01536,16.25,26.19,109.1,809.8,0.1313,0.2962
12.95,16.02,83.14,513.7,0.1005,0.0647,17.67,0.02335,13.74,19.93,88.81,585.4,0.1483,0.338
11.85,17.46,75.54,432.7,0.08372,0.05715,13.88,0.01412,13.06,25.75,84.35,517.8,0.1369,0.3101
12.72,13.78,81.78,492.1,0.09667,0.061,13.38,0.006564,13.5,17.48,88.54,553.7,0.1298,0.2369
13.77,13.27,88.06,582.7,0.09198,0.05912,17.74,0.004272,14.67,16.93,94.17,661.1,0.117,0.2823
10.91,12.35,69.14,363.7,0.08518,0.06031,11.09,0.01072,11.37,14.82,72.42,392.2,0.09312,0.2143
11.76,18.14,75,431.1,0.09968,0.06287,49.11,0.01272,13.36,23.39,85.1,553.6,0.1137,0.1978
14.26,18.17,91.22,633.1,0.06576,0.05586,20.56,0.01079,16.22,25.26,105.8,819.7,0.09445,0.2636
10.51,23.09,66.85,334.2,0.1015,0.06556,20.56,0.01861,10.93,24.22,70.1,362.7,0.1143,0.2227
19.53,18.9,129.5,1217,0.115,0.06552,133,0.05638,25.93,26.24,171.1,2053,0.1495,0.2968
12.46,19.89,80.43,471.3,0.08451,0.06249,28.32,0.04712,13.46,23.07,88.13,551.3,0.105,0.2685
20.09,23.86,134.7,1247,0.108,0.07469,130.8,0.07649,23.68,29.43,158.8,1696,0.1347,0.3294
10.49,18.61,66.86,334.3,0.1068,0.066,10.08,0.01808,11.06,24.54,70.76,375.4,0.1413,0.2213
11.46,18.16,73.59,403.1,0.08853,0.06243,22.93,0.02221,12.68,21.61,82.69,489.8,0.1144,0.2208
11.6,24.49,74.23,417.2,0.07474,0.05878,18.21,0.01596,12.44,31.62,81.39,476.5,0.09545,0.3244
13.2,15.82,84.07,537.3,0.08511,0.05894,15.5,0.001128,14.41,20.45,92,636.9,0.1128,0.2651
9,14.4,56.36,246.3,0.07005,0.06833,9.789,0.003681,9.699,20.07,60.9,285.5,0.09861,0.2991
13.5,12.71,85.69,566.2,0.07376,0.05335,20.39,0.00203,14.97,16.94,95.48,698.7,0.09023,0.2267
13.05,13.84,82.71,530.6,0.08352,0.05518,33.01,0.002831,14.73,17.4,93.96,672.4,0.1016,0.2107
11.7,19.11,74.33,418.7,0.08814,0.06128,11.28,0.01042,12.61,26.55,80.92,483.1,0.1223,0.3487
14.61,15.69,92.68,664.9,0.07618,0.05255,28.9,0.005325,16.46,21.75,103.7,840.8,0.1011,0.253
12.76,13.37,82.29,504.1,0.08794,0.0614,25.18,0.03137,14.19,16.4,92.04,618.8,0.1194,0.2564
11.54,10.72,73.73,409.1,0.08597,0.061,9.438,0.01003,12.34,12.87,81.23,467.8,0.1092,0.339
8.597,18.6,54.09,221.2,0.1074,0.07359,17.81,0,8.952,22.44,56.65,240.1,0.1347,0.3142
12.49,16.85,79.19,481.6,0.08511,0.05673,12.69,0.00262,13.34,19.71,84.48,544.2,0.1104,0.1917
12.18,14.08,77.25,461.4,0.07734,0.05649,15.82,0.01123,12.85,16.47,81.6,513.1,0.1001,0.2293
18.22,18.87,118.7,1027,0.09746,0.05664,48.9,0.02408,21.84,25,140.9,1485,0.1434,0.2812
9.042,18.9,60.07,244.5,0.09968,0.08743,24.2,0.1027,10.06,23.4,68.62,297.1,0.1221,0.3135
12.43,17,78.6,477.3,0.07557,0.05561,31.16,0.009959,12.9,20.21,81.76,515.9,0.08409,0.1901
10.25,16.18,66.52,324.2,0.1061,0.07279,22.68,0.04004,11.28,20.61,71.53,390.4,0.1402,0.2608
20.16,19.66,131.1,1274,0.0802,0.05096,74.85,0.02645,23.06,23.03,150.2,1657,0.1054,0.3055
12.86,13.32,82.82,504.8,0.1134,0.06476,16.57,0.01902,14.04,21.08,92.8,599.5,0.1547,0.2382
20.34,21.51,135.9,1264,0.117,0.0667,69.06,0.0319,25.3,31.86,171.1,1938,0.1592,0.5558
12.2,15.21,78.01,457.9,0.08673,0.06129,19.01,0.01051,13.75,21.38,91.11,583.1,0.1256,0.2661
12.67,17.3,81.25,489.9,0.1028,0.05984,17.61,0.01329,13.71,21.1,88.7,574.4,0.1384,0.2688
14.11,12.88,90.03,616.5,0.09309,0.057,23.92,0.005717,15.53,18,98.4,749.9,0.1281,0.21
12.03,17.93,76.09,446,0.07683,0.0607,16.97,0.001184,13.07,22.25,82.74,523.4,0.1013,0.2171
16.27,20.71,106.9,813.7,0.1169,0.06277,44.41,0.03248,19.28,30.38,129.8,1121,0.159,0.3103
16.26,21.88,107.5,826.8,0.1165,0.06532,57.72,0.05839,17.73,25.21,113.7,975.2,0.1426,0.2736
16.03,15.51,105.8,793.2,0.09491,0.05976,33.27,0.03715,18.76,21.98,124.3,1070,0.1435,0.3019
12.98,19.35,84.52,514,0.09579,0.0654,20.65,0.04393,14.42,21.95,99.21,634.3,0.1288,0.3596
11.22,19.86,71.94,387.3,0.1054,0.06028,19.62,0.003297,11.98,25.78,76.91,436.1,0.1424,0.3292
11.25,14.78,71.38,390,0.08306,0.06081,15.07,0.0009737,12.76,22.06,82.08,492.7,0.1166,0.2815
12.3,19.02,77.88,464.4,0.08313,0.05945,13.24,0.007004,13.35,28.46,84.53,544.3,0.1222,0.2554
17.06,21,111.8,918.6,0.1119,0.06071,87.17,0.04502,20.99,33.15,143.2,1362,0.1449,0.2623
12.99,14.23,84.08,514.3,0.09462,0.07238,14.41,0.03113,13.72,16.91,87.38,576,0.1142,0.2432
18.77,21.43,122.9,1092,0.09116,0.06083,88.25,0.03914,24.54,34.37,161.1,1873,0.1498,0.3679
10.05,17.53,64.41,310.8,0.1007,0.06331,16.85,0.0169,11.16,26.84,71.98,384,0.1402,0.2894
23.51,24.27,155.1,1747,0.1069,0.05506,164.1,0.03582,30.67,30.73,202.4,2906,0.1515,0.2593
14.42,16.54,94.15,641.2,0.09751,0.06412,32.14,0.0384,16.67,21.51,111.4,862.1,0.1294,0.3053
9.606,16.84,61.64,280.5,0.08481,0.07125,12.07,0.05028,10.75,23.07,71.25,353.6,0.1233,0.2982
11.06,14.96,71.49,373.9,0.1033,0.06907,10.8,0.02758,11.92,19.9,79.76,440,0.1418,0.3301
19.68,21.68,129.9,1194,0.09797,0.05715,67.66,0.04345,22.75,34.66,157.6,1540,0.1218,0.4045
11.71,15.45,75.03,420.3,0.115,0.06506,24.53,0.01651,13.06,18.16,84.16,516.4,0.146,0.2765
10.26,14.71,66.2,321.6,0.09882,0.07005,19.33,0.02611,10.88,19.48,70.89,357.1,0.136,0.2434
12.06,18.9,76.66,445.3,0.08386,0.06048,18.02,0.005832,13.64,27.06,86.54,562.6,0.1289,0.288
14.76,14.74,94.87,668.7,0.08875,0.05912,29.06,0.01855,17.27,17.93,114.2,880.8,0.122,0.3109
11.47,16.03,73.02,402.7,0.09076,0.06372,12.25,0.0094,12.51,20.79,79.67,475.8,0.1531,0.2851
11.95,14.96,77.23,426.7,0.1158,0.06581,26.65,0.007816,12.81,17.72,83.09,496.2,0.1293,0.3124
11.66,17.07,73.7,421,0.07561,0.05731,26.03,0.005949,13.28,19.74,83.61,542.5,0.09958,0.2731
15.75,19.22,107.1,758.6,0.1243,0.07603,51.22,0.09953,17.36,24.17,119.4,915.3,0.155,0.4245
25.73,17.46,174.2,2010,0.1149,0.06121,153.1,0.04266,33.13,23.58,229.3,3234,0.153,0.369
15.08,25.74,98,716.6,0.1024,0.06464,63.37,0.04912,18.51,33.22,121.2,1050,0.166,0.2654
11.14,14.07,71.24,384.6,0.07274,0.06083,28.84,0.04505,12.12,15.82,79.62,453.5,0.08864,0.2576
12.56,19.07,81.92,485.8,0.0876,0.06184,27.49,0.06271,13.37,22.43,89.02,547.4,0.1096,0.2121
13.05,18.59,85.09,512,0.1082,0.06501,21.57,0.05112,14.19,24.85,94.22,591.2,0.1343,0.3113
13.87,16.21,88.52,593.7,0.08743,0.05883,20.74,0.005254,15.11,25.58,96.74,694.4,0.1153,0.2362
8.878,15.49,56.74,241,0.08293,0.06621,30.18,0.03214,9.981,17.7,65.27,302,0.1015,0.2434
9.436,18.32,59.82,278.6,0.1009,0.06959,30.48,0.02348,12.02,25.02,75.79,439.6,0.1333,0.2454
12.54,18.07,79.42,491.9,0.07436,0.05185,28.3,0.0007929,13.72,20.98,86.82,585.7,0.09293,0.2233
13.3,21.57,85.24,546.1,0.08582,0.05696,20.98,0.01795,14.2,29.2,92.94,621.2,0.114,0.2637
12.76,18.84,81.87,496.6,0.09676,0.06183,17.26,0.01529,13.75,25.99,87.82,579.7,0.1298,0.2744
16.5,18.29,106.6,838.1,0.09686,0.05593,33.58,0.01832,18.13,25.45,117.2,1009,0.1338,0.2394
13.4,16.95,85.48,552.4,0.07937,0.05701,13.22,0.01451,14.73,21.7,93.76,663.5,0.1213,0.2741
20.44,21.78,133.8,1293,0.0915,0.05557,72.44,0.02375,24.31,26.37,161.2,1780,0.1327,0.2609
20.2,26.83,133.7,1234,0.09905,0.0602,103.6,0.05904,24.19,33.81,160,1671,0.1278,0.3271
12.21,18.02,78.31,458.4,0.09231,0.05916,18.57,0.02,14.29,24.04,93.85,624.6,0.1368,0.3218
21.71,17.25,140.9,1546,0.09384,0.05054,224.1,0.02096,30.75,26.44,199.5,3143,0.1363,0.251
22.01,21.9,147.2,1482,0.1063,0.0614,130.2,0.03576,27.66,25.8,195,2227,0.1294,0.2741
16.35,23.29,109,840.4,0.09742,0.06218,45.5,0.06072,19.38,31.03,129.3,1165,0.1415,0.4824
15.19,13.21,97.65,711.8,0.07963,0.05544,17.72,0.01551,16.2,15.73,104.5,819.1,0.1126,0.2487
21.37,15.1,141.3,1386,0.1001,0.06183,39.06,0.03437,22.69,21.84,152.1,1535,0.1192,0.273
20.64,17.35,134.8,1335,0.09446,0.05478,77.02,0.02681,25.37,23.17,166.8,1946,0.1562,0.2689
13.69,16.07,87.84,579.1,0.08302,0.05669,14,0.01169,14.84,20.21,99.16,670.6,0.1105,0.3323
16.17,16.07,106.3,788.5,0.0988,0.06572,14.91,0.01951,16.97,19.14,113.1,861.5,0.1235,0.3153
10.57,20.22,70.15,338.3,0.09073,0.0845,7.228,0.1535,10.85,22.82,76.51,351.9,0.1143,0.2597
13.46,28.21,85.89,562.1,0.07517,0.05763,14.91,0.007508,14.69,35.63,97.11,680.6,0.1108,0.2694
